spotifyAlbumID, spotifyArtistID, albumName, numTracks, albumType, releaseDate
0EPE2FMp3wkeXTrNmqlxoy,15BFYS3S38ABXsEs8AVrXL,Smile,16,album,10/15/09
5NjA38PXiSjYRH3K6TwJP6,1hkRfKGoJisJDbo6eSf1pg,Yo bene,6,single,3/17/17
4VzVHSPoh9MP85THaTfYpN,37hAfseJWi0G3Scife12Il,City On Lock,15,album,6/20/20
3e7vtKJ3m1zVh38VGq2g3H,7aA592KWirLsnfb5ulGWvU,Atrocity Exhibition,15,album,9/27/16
1yyCXBEu27Ia1Y3torWIwC,07EcmJpfAday8xGkslfanE,American Boyfriend: A Suburban Love Story,16,album,11/18/16
2vs5faN4o8NCNXAGLh3HJf,26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,11,album,3/27/09
2Zd2BpFpXqK4DOtKNSa2jy,7J4Pg0NGyrWoMrROYhnlP6,Buttermilk - EP,5,single,2/17/17
1ReoUTt497nUg3u1ERgYwS,0AsThoR4KZSVktALiNcQwW,Ungodly Hour,13,album,6/3/20
2LB3zTuRknMcwppJrFZay0,6I3MElirhT5t6Kf7p0hGk9,THE FALLING MAN,8,album,5/17/19
0dm4BqszjtIGfk749aqWF3,5MqgtmMdtrsZIQpZzLhpX5,In Summer,5,single,7/29/16
531pUFZ1BbEhfXDxitF8TU,3wBPUdIKGpmOpm6EvuLKMj,Call Me by Your Name (Original Motion Picture Soundtrack),17,compilation,11/3/17
3o75BuQvN7lw4nzrAd8MPz,4JCt4xrbbBB9blkKwNlcJ7,"Love Come Down: The Best of Evelyn ""Champagne"" King",15,compilation,3/23/93
0XHu0qs3IztGqkDl4jOUpM,1Bt7Z61Wj1ixbeJEBKwod6,Mouasalat Ila Jacad El Ard (Habibi Funk 010),7,album,11/22/19
3NEd4iDC7VeLtwQC6p9NJn,2IDLDx25HU1nQMKde4n61a,Yellow (feat. Bekon),1,single,6/25/19
58NsNICf7hyif5WruzsLWc,3nnQpaTvKb5jCQabZefACI,Live At Sin-é (Legacy Edition),34,album,1993
3rqqwtJE89WoWvMyPTvbZc,3jK9MiCrA42lLAdMGUZpwa,Oxnard,14,album,11/16/18
3IcfYXw7lTtLfG5XWLlSZi,5sXaGoRLSpd7VeyZrLkKwt,The Weatherman,13,album,7/9/13
2ODvWsOgouMbaA5xf0RkJe,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,18,album,11/25/16
5p64XgvFREt1P6mC7Xl6XN,4Sw0SFu1fFdYXdAEVdrqnO,A Crow Looked at Me,11,album,3/24/17
