spotifyArtistID, artistName, artistPopularity
15BFYS3S38ABXsEs8AVrXL,Mandy Harvey,34
1hkRfKGoJisJDbo6eSf1pg,Lewis OfMan,50
37hAfseJWi0G3Scife12Il,City Girls,74
7aA592KWirLsnfb5ulGWvU,Danny Brown,63
07EcmJpfAday8xGkslfanE,Kevin Abstract,63
26T3LtbuGT1Fu9m0eRq5X3,Cage The Elephant,77
7J4Pg0NGyrWoMrROYhnlP6,Biskwiq,58
0AsThoR4KZSVktALiNcQwW,Chloe x Halle,64
6I3MElirhT5t6Kf7p0hGk9,Duckwrth,67
5MqgtmMdtrsZIQpZzLhpX5,Jefre Cantu-Ledesma,35
3wBPUdIKGpmOpm6EvuLKMj,André Laplante,48
4JCt4xrbbBB9blkKwNlcJ7,"Evelyn ""Champagne"" King",53
1Bt7Z61Wj1ixbeJEBKwod6,Issam Hajali,28
2IDLDx25HU1nQMKde4n61a,Rich Brian,77
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,63
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,87
5sXaGoRLSpd7VeyZrLkKwt,Gregory Alan Isakov,67
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,95
4Sw0SFu1fFdYXdAEVdrqnO,Mount Eerie,44
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,84
1rJkz5vopfGxTUGFNB3o4G,Quasimoto,53
4ULO7IGI3M2bo0Ap7B9h8a,Teyana Taylor,65
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,87
4AcHt3JxKy59IX7JNNlZn4,Fitz and The Tantrums,68
1SETr6LqWZXbJyEDVe6xDc,Katie Dey,30
32aUoW94mJ7xTJI7fG0V1G,Whitney,58
3FyxEZrTwxWFQBH1Bmi30c,atm,39
4nNxZ9weXMeokvs9ohcmZl,The Slaps,40
49zXTngyUTielHTbbH5YKs,Roy Hargrove,49
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,77
0QRgfCLzSR9GyCjXboWQTA,Chris Montez,47
6UXdw3AJt6S6ri0IGsqquQ,Paulie Leparik,52
1SibPpG7jBgoHu988lUNVR,Diane Denoir,37
4iMO20EPodreIaEl8qW66y,Still Woozy,72
3Sz7ZnJQBIHsXLUSo0OQtM,Mac DeMarco,78
500rBZDH42x0aBmajZARos,Na-Kel Smith,30
6deCiWT7ATcDWP2Cvlalvn,Oscar Lang,63
6M6rZlL20NFRT9T1kapWX4,BradBrooks,38
3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,80
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,89
3koiLjNrgRTNbOwViDipeA,Marvin Gaye,75
0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,81
4DMSJzGjw2SMkKAT5EEE5u,HOMESHAKE,55
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,89
0z4gvV4rjIZ9wHck67ucSV,Akon,82
7MDoXA8Kfykq3gkBkDBLtH,The Rah Band,42
5CRfAxYjJsDBH5wvWF2nja,Sara King,26
