trackID, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence
7Mizu43PLu6IKHG1512Ht9, 0.536, 0.146, 0.9904687116028567, 0.0364, 0.926, 1.32e-06, 0.109, 0.138
1vYqyXbWSD1okZWIYSRURs, 0.527, 0.823, 0.9947246319251004, 0.172, 0.157, 0.525, 0.0762, 0.45
5EzL7hGT9g2Tvqsy158Lu9, 0.943, 0.641, 0.9951596785130954, 0.191, 0.0016, 0, 0.211, 0.242
6dHatCnuOb1TdBIeJTK3Y0, 0.692, 0.983, 0.9966182835301681, 0.29, 0.0417, 0, 0.21, 0.792
0EtvyFKJGy5UVcReXc5FOo, 0.626, 0.388, 0.9914347205620266, 0.0293, 0.3, 0.00242, 0.303, 0.317
3kb72STxc2959ZqsTwu52i, 0.634, 0.849, 0.9941477670005464, 0.105, 0.0438, 0, 0.363, 0.919
5WJ3Py8BuLkt0RaDrN8U2X, 0.479, 0.547, 0.9946389928329753, 0.355, 0.492, 0.00064, 0.556, 0.174
35Dh5MnCUPLN3XyAVtQff3, 0.725, 0.668, 0.9940032082130394, 0.055, 0.0932, 2.33e-06, 0.112, 0.566
19Z7HLXE1wQWD84atodCHK, 0.694, 0.65, 0.9937250524418174, 0.0766, 0.386, 2.46e-06, 0.104, 0.348
7tgSuQZIcBSv8H0fYEZ7K4, 0.177, 0.709, 0.9953104033152352, 0.0542, 0.034, 0.813, 0.628, 0.19
1LxTDTEM7t7g1aHKfHvlmO, 0.292, 0.113, 0.9841293634473961, 0.0403, 0.981, 0.887, 0.0871, 0.0308
0Of5lCNEqh62twRkQIOLuK, 0.897, 0.431, 0.9906132703903636, 0.0481, 0.00206, 0.0395, 0.0377, 0.857
57XDB9Db9zCeYG6i0htCdE, 0.249, 0.671, 0.9930968040619885, 0.0435, 0.163, 0.00322, 0.313, 0.422
3GCb1V1yb8Jg4zqB8MqaC8, 0.447, 0.53, 0.9955501927731853, 0.028, 0.217, 4.25e-05, 0.351, 0.0621
5K3XHLYc9uaDyx0YSLGmuL, 0.556, 0.573, 0.9894184337770358, 0.746, 0.647, 0, 0.864, 0.521
4mnetrP6ozVrc5lkM07WP3, 0.557, 0.671, 0.9940772003886353, 0.3, 0.0528, 0, 0.116, 0.602
7iQmjnDXYngWGsbjVnDc1U, 0.553, 0.429, 0.9904241792749516, 0.0283, 0.921, 0.135, 0.115, 0.532
1WiA6ics95lhncvzFIFFEC, 0.559, 0.832, 0.9954988093179103, 0.0762, 0.0254, 0, 0.413, 0.775
4mU5iXHeLgbR94siF7p1sY, 0.772, 0.504, 0.9933639980294184, 0.0761, 0.129, 0, 0.125, 0.244
2N9DSzHxPdD3g1eZi2s8Zk, 0.598, 0.163, 0.9866005650897549, 0.0434, 0.894, 0.0083, 0.12, 0.258
6MEDfjHxnVNcYmHe3mM6L2, 0.479, 0.558, 0.9948335648502833, 0.179, 0.227, 0, 0.0808, 0.8
4lRT9QREjmS8hQ0ETraMap, 0.755, 0.658, 0.9937510867258234, 0.383, 0.0747, 1.07e-06, 0.041, 0.592
3nXrCAE44KlevAkQB2XWcN, 0.514, 0.506, 0.9941340647458065, 0.28, 0.402, 2.56e-05, 0.191, 0.312
5XmetMMUFNXClbiYnGdVmP, 0.517, 0.529, 0.9908756685686346, 0.0323, 0.115, 0.00396, 0.174, 0.362
2AYEOC02WLhUiOoaig2SEH, 0.545, 0.968, 0.9965607340602602, 0.0853, 0.0387, 0.00325, 0.331, 0.527
05zWAuGGJ41h6rrN21WjKj, 0.465, 0.534, 0.9916560119760776, 0.0684, 0.62, 0.816, 0.0769, 0.393
0JpxgzK06pG2Lr7TKEAF37, 0.261, 0.289, 0.9894355615954608, 0.0399, 0.707, 0.905, 0.0952, 0.222
23OuUP45tTBGHAA1zVMFOL, 0.699, 0.657, 0.9939367522775503, 0.153, 0.242, 0, 0.0977, 0.429
65FXzJrck25F9vXrJaZZpU, 0.499, 0.444, 0.9916991740785086, 0.0483, 0.525, 7.54e-05, 0.27, 0.465
2iJCVsNZAHFVaJhlLeXW00, 0.219, 0.0724, 0.9861901825602919, 0.037, 0.964, 0.962, 0.116, 0.205
4QhWbupniDd44EDtnh2bFJ, 0.4, 0.65, 0.9948130114681732, 0.0466, 0.0118, 7.62e-05, 0.791, 0.15
4U5ovGD4My7MOISvUEtYaf, 0.885, 0.365, 0.9893300542339627, 0.263, 0.00112, 0, 0.264, 0.637
50ctyPDakS9NXRi4yXHaiS, 0.7, 0.492, 0.9900891591465586, 0.0891, 0.748, 2.24e-05, 0.913, 0.787
5nVGPIEjIx6gZnY67yC4xM, 0.58, 0.632, 0.9954837368376963, 0.0371, 0.0975, 0.8, 0.371, 0.877
3GzHrWdEcG7TmqgicE8T7Q, 0.619, 0.186, 0.9891944019120368, 0.0325, 0.974, 0.031, 0.106, 0.453
6y5CTUxwSD9yM8656nqOEV, 0.751, 0.473, 0.9911449178742756, 0.199, 0.216, 0.0774, 0.267, 0.868
3fm1SiPsRUGF1PcAdhFIN5, 0.583, 0.58, 0.9905440740039265, 0.0363, 0.525, 0.896, 0.103, 0.628
