juncID, albumID, genreID
0, 1hkRfKGoJisJDbo6eSf1pg, 0
1, 1hkRfKGoJisJDbo6eSf1pg, 1
2, 1hkRfKGoJisJDbo6eSf1pg, 2
3, 1hkRfKGoJisJDbo6eSf1pg, 3
4, 37hAfseJWi0G3Scife12Il, 4
5, 37hAfseJWi0G3Scife12Il, 5
6, 37hAfseJWi0G3Scife12Il, 6
7, 37hAfseJWi0G3Scife12Il, 7
8, 37hAfseJWi0G3Scife12Il, 8
9, 37hAfseJWi0G3Scife12Il, 9
10, 7aA592KWirLsnfb5ulGWvU, 10
11, 7aA592KWirLsnfb5ulGWvU, 11
12, 7aA592KWirLsnfb5ulGWvU, 12
13, 7aA592KWirLsnfb5ulGWvU, 13
14, 7aA592KWirLsnfb5ulGWvU, 14
15, 7aA592KWirLsnfb5ulGWvU, 15
16, 07EcmJpfAday8xGkslfanE, 16
17, 07EcmJpfAday8xGkslfanE, 17
18, 07EcmJpfAday8xGkslfanE, 13
19, 07EcmJpfAday8xGkslfanE, 18
20, 07EcmJpfAday8xGkslfanE, 14
21, 26T3LtbuGT1Fu9m0eRq5X3, 19
22, 26T3LtbuGT1Fu9m0eRq5X3, 20
23, 26T3LtbuGT1Fu9m0eRq5X3, 21
24, 7J4Pg0NGyrWoMrROYhnlP6, 22
25, 0AsThoR4KZSVktALiNcQwW, 17
26, 0AsThoR4KZSVktALiNcQwW, 4
27, 0AsThoR4KZSVktALiNcQwW, 5
28, 0AsThoR4KZSVktALiNcQwW, 23
29, 0AsThoR4KZSVktALiNcQwW, 7
30, 0AsThoR4KZSVktALiNcQwW, 24
31, 6I3MElirhT5t6Kf7p0hGk9, 17
32, 6I3MElirhT5t6Kf7p0hGk9, 12
33, 6I3MElirhT5t6Kf7p0hGk9, 13
34, 6I3MElirhT5t6Kf7p0hGk9, 25
35, 6I3MElirhT5t6Kf7p0hGk9, 2
36, 6I3MElirhT5t6Kf7p0hGk9, 15
37, 5MqgtmMdtrsZIQpZzLhpX5, 26
38, 5MqgtmMdtrsZIQpZzLhpX5, 27
39, 5MqgtmMdtrsZIQpZzLhpX5, 28
40, 5MqgtmMdtrsZIQpZzLhpX5, 29
41, 5MqgtmMdtrsZIQpZzLhpX5, 30
42, 5MqgtmMdtrsZIQpZzLhpX5, 31
43, 5MqgtmMdtrsZIQpZzLhpX5, 32
44, 5MqgtmMdtrsZIQpZzLhpX5, 33
45, 5MqgtmMdtrsZIQpZzLhpX5, 34
46, 5MqgtmMdtrsZIQpZzLhpX5, 35
47, 3wBPUdIKGpmOpm6EvuLKMj, 36
48, 3wBPUdIKGpmOpm6EvuLKMj, 37
49, 4JCt4xrbbBB9blkKwNlcJ7, 38
50, 4JCt4xrbbBB9blkKwNlcJ7, 39
51, 4JCt4xrbbBB9blkKwNlcJ7, 40
52, 4JCt4xrbbBB9blkKwNlcJ7, 41
53, 4JCt4xrbbBB9blkKwNlcJ7, 42
54, 4JCt4xrbbBB9blkKwNlcJ7, 43
55, 4JCt4xrbbBB9blkKwNlcJ7, 44
56, 4JCt4xrbbBB9blkKwNlcJ7, 45
57, 4JCt4xrbbBB9blkKwNlcJ7, 24
58, 1Bt7Z61Wj1ixbeJEBKwod6, 46
59, 2IDLDx25HU1nQMKde4n61a, 47
60, 3nnQpaTvKb5jCQabZefACI, 48
61, 3nnQpaTvKb5jCQabZefACI, 49
62, 3nnQpaTvKb5jCQabZefACI, 21
63, 3nnQpaTvKb5jCQabZefACI, 50
64, 3jK9MiCrA42lLAdMGUZpwa, 12
65, 5sXaGoRLSpd7VeyZrLkKwt, 51
66, 5sXaGoRLSpd7VeyZrLkKwt, 52
67, 5sXaGoRLSpd7VeyZrLkKwt, 53
68, 5sXaGoRLSpd7VeyZrLkKwt, 54
69, 1Xyo4u8uXC1ZmMpatF05PJ, 55
70, 1Xyo4u8uXC1ZmMpatF05PJ, 56
71, 1Xyo4u8uXC1ZmMpatF05PJ, 5
72, 4Sw0SFu1fFdYXdAEVdrqnO, 57
73, 4Sw0SFu1fFdYXdAEVdrqnO, 58
74, 4Sw0SFu1fFdYXdAEVdrqnO, 27
75, 4Sw0SFu1fFdYXdAEVdrqnO, 59
76, 4Sw0SFu1fFdYXdAEVdrqnO, 31
77, 4Sw0SFu1fFdYXdAEVdrqnO, 60
78, 4Sw0SFu1fFdYXdAEVdrqnO, 61
79, 4Sw0SFu1fFdYXdAEVdrqnO, 48
80, 4Sw0SFu1fFdYXdAEVdrqnO, 62
81, 4Sw0SFu1fFdYXdAEVdrqnO, 63
82, 2h93pZq0e7k5yf4dywlkpM, 17
83, 2h93pZq0e7k5yf4dywlkpM, 13
