songID, spotifySongID, albumID, artistID, songName, songLength(ms), songPopularity, explicit
0,7Mizu43PLu6IKHG1512Ht9,0EPE2FMp3wkeXTrNmqlxoy,15BFYS3S38ABXsEs8AVrXL,Smile,189840,19,FALSE
1,1vYqyXbWSD1okZWIYSRURs,5NjA38PXiSjYRH3K6TwJP6,1hkRfKGoJisJDbo6eSf1pg,Yo bene,217750,32,FALSE
2,5EzL7hGT9g2Tvqsy158Lu9,4VzVHSPoh9MP85THaTfYpN,37hAfseJWi0G3Scife12Il,Pussy Talk,218332,68,TRUE
3,6dHatCnuOb1TdBIeJTK3Y0,3e7vtKJ3m1zVh38VGq2g3H,7aA592KWirLsnfb5ulGWvU,Really Doe,319433,58,TRUE
4,0EtvyFKJGy5UVcReXc5FOo,1yyCXBEu27Ia1Y3torWIwC,07EcmJpfAday8xGkslfanE,June 29th,48000,34,TRUE
5,3kb72STxc2959ZqsTwu52i,2vs5faN4o8NCNXAGLh3HJf,26T3LtbuGT1Fu9m0eRq5X3,Ain't No Rest for the Wicked,175493,0,FALSE
6,5WJ3Py8BuLkt0RaDrN8U2X,2Zd2BpFpXqK4DOtKNSa2jy,7J4Pg0NGyrWoMrROYhnlP6,Faucets (feat. Healy),105600,37,FALSE
7,35Dh5MnCUPLN3XyAVtQff3,1ReoUTt497nUg3u1ERgYwS,0AsThoR4KZSVktALiNcQwW,Do It,176786,69,FALSE
8,19Z7HLXE1wQWD84atodCHK,2LB3zTuRknMcwppJrFZay0,6I3MElirhT5t6Kf7p0hGk9,NOBODY FALLS,196813,46,TRUE
9,7tgSuQZIcBSv8H0fYEZ7K4,0dm4BqszjtIGfk749aqWF3,5MqgtmMdtrsZIQpZzLhpX5,Love's Refrain,457705,37,FALSE
10,1LxTDTEM7t7g1aHKfHvlmO,531pUFZ1BbEhfXDxitF8TU,3wBPUdIKGpmOpm6EvuLKMj,Une Barque Sur L'océan from Miroirs,430567,45,FALSE
11,0Of5lCNEqh62twRkQIOLuK,3o75BuQvN7lw4nzrAd8MPz,4JCt4xrbbBB9blkKwNlcJ7,Love Come Down,364946,53,FALSE
12,57XDB9Db9zCeYG6i0htCdE,0XHu0qs3IztGqkDl4jOUpM,1Bt7Z61Wj1ixbeJEBKwod6,Ana Damir El Motakallim,702000,35,FALSE
13,3GCb1V1yb8Jg4zqB8MqaC8,3NEd4iDC7VeLtwQC6p9NJn,2IDLDx25HU1nQMKde4n61a,Yellow (feat. Bekon),291869,44,TRUE
14,5K3XHLYc9uaDyx0YSLGmuL,58NsNICf7hyif5WruzsLWc,3nnQpaTvKb5jCQabZefACI,"Be Your Husband - Live at Sin-é, New York, NY - July/August 1993",295400,41,FALSE
15,4mnetrP6ozVrc5lkM07WP3,3rqqwtJE89WoWvMyPTvbZc,3jK9MiCrA42lLAdMGUZpwa,Smile/Petty (feat. Sonyae Elise),282946,43,TRUE
16,7iQmjnDXYngWGsbjVnDc1U,3IcfYXw7lTtLfG5XWLlSZi,5sXaGoRLSpd7VeyZrLkKwt,Amsterdam,198640,65,FALSE
17,1WiA6ics95lhncvzFIFFEC,1yyCXBEu27Ia1Y3torWIwC,07EcmJpfAday8xGkslfanE,Kin,28727,3,TRUE
18,4mU5iXHeLgbR94siF7p1sY,2ODvWsOgouMbaA5xf0RkJe,1Xyo4u8uXC1ZmMpatF05PJ,Six Feet Under,237573,69,TRUE
19,2N9DSzHxPdD3g1eZi2s8Zk,5p64XgvFREt1P6mC7Xl6XN,4Sw0SFu1fFdYXdAEVdrqnO,Ravens,399733,36,FALSE
20,6MEDfjHxnVNcYmHe3mM6L2,392p3shh2jkxUxY2VHvlH8,2h93pZq0e7k5yf4dywlkpM,Sweet Life,262680,61,TRUE
21,4lRT9QREjmS8hQ0ETraMap,0wRbpSytHFxVE5L9PLUGif,1rJkz5vopfGxTUGFNB3o4G,Am I Confused?,173106,0,TRUE
